# Manual URL pins, for rows where automatic resolution picks the wrong asset.
# Format:  <figma path><TAB><direct URL to the logo file>
# These take priority over every resolver, so a pinned row is fetched verbatim.
#
# Example:
payments/indo/telco-data/indosat	https://im3-img.indosatooredoo.com/indosatassets/images/logo_Personal_IM3.svg
payments/indo/telco-data/axis	https://axis.co.id/img/common/logo.svg
payments/indo/telco-data/tri	https://tri.co.id/assets/image/logo_tri_black.png
payments/indo/telco-data/by-u	https://assets.zonalogo.com/telecommunications/byu.id/logo-1773535654415-446.svg
payments/indo/internet-tv/biznet	https://www.biznetnetworks.com/wp-content/uploads/2024/05/LogoBiznet.png
payments/indo/internet-tv/myrepublic	https://assets.zonalogo.com/telecommunications/myrepublic.co.id/logo-1773536744323-435.svg
payments/indo/internet-tv/xl-satu	https://static.ext.dp.xl.co.id/corpweb/pub-xlaxiata/2019-03/xl-logo.png
payments/indo/telco-data/xl	https://static.ext.dp.xl.co.id/corpweb/pub-xlaxiata/2019-03/xl-logo.png
payments/indo/e-money/mandiri-emoney	https://assets.xlogo.org/brands/mandiri-e-money/logo-dark-1777198000447.svg
payments/indo/e-money/bni-tapcash	https://assets.xlogo.org/brands/tapcash/logo-dark-1777194998376.svg
payments/indo/e-money/flazz-bca	https://assets.xlogo.org/brands/flazz-bca/logo-dark-1777261114673.svg
payments/indo/streaming-subscriptions/netflix	https://cdn.simpleicons.org/netflix/E50914
payments/indo/streaming-subscriptions/spotify	https://cdn.simpleicons.org/spotify/1ED760
payments/indo/streaming-subscriptions/disney-plus	https://upload.wikimedia.org/wikipedia/commons/3/3e/Disney%2B_logo.svg
payments/indo/streaming-subscriptions/youtube-premium	https://cdn.simpleicons.org/youtube/FF0000
payments/indo/streaming-subscriptions/apple-services	https://cdn.simpleicons.org/apple/000000
payments/indo/streaming-subscriptions/vidio	https://commons.wikimedia.org/wiki/Special:FilePath/Vidio_logo.svg
payments/indo/streaming-subscriptions/iqiyi	https://commons.wikimedia.org/wiki/Special:FilePath/IQIYI_logo_%282022%29.svg
payments/indo/streaming-subscriptions/tiktok-live	https://cdn.simpleicons.org/tiktok/000000
payments/indo/streaming-subscriptions/poppo-live	https://www.poppo.com/_nuxt/logo-big.CDAjpN2D.png
payments/indo/streaming-subscriptions/idn-app	https://www.idn.app/img/logo-idn.png
payments/indo/streaming-subscriptions/bstation-bilibili	https://p.bstarstatic.com/fe-static/bstar-web/assets/top_logo.svg
payments/indo/streaming-subscriptions/wetv	https://commons.wikimedia.org/wiki/Special:FilePath/Wetv-2024.svg
payments/indo/streaming-subscriptions/bigo-live	https://www.bigo.tv/_nuxt_cdn_/img/logo-b.4bcead.png
payments/indo/streaming-subscriptions/chamet	https://www.chamet.com/_nuxt/all_tab_logo.DlC3bfj3.webp
payments/indo/streaming-subscriptions/folaplay	https://folaplay.com/static/img/logo.ico
payments/indo/games-vouchers/football-master-2	https://fm2.galasports.com/static/image/page1/logo.png
