figma_path,outcome,detail,url
banks/indo/bank-sulutgo,unusable,"49 candidate(s), none met the 128px floor",
banks/indo/bank-sulteng,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/cf/df/68/cfdf6848-e3f7-6fd2-162c-104c9375c9a8/AppIcon-0-0-1x_U007emarketing-0-7-0-85-220.png/1024x1024bb.png
banks/indo/bank-sultra,downloaded,"brand-site | wordmark | 4.29:1 (horizontal, 9000x2100) | vector (verify no baked-in background)",https://banksultra.co.id/logo_banksultra7.svg
banks/indo/bank-bpd-bali,unusable,"5 candidate(s), none met the 128px floor",
banks/indo/bank-ntb-syariah,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/55/59/06/5559061d-85a6-551f-79ab-e791e6c345cd/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/1024x1024bb.png
banks/indo/bank-ntt,downloaded,"brand-site | wordmark | 1.38:1 (horizontal, 1486x1080) | transparent",https://www.bpdntt.co.id/images/logo_ntt.png
banks/indo/bank-maluku-malut,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/da/64/b1/da64b10e-abd8-f89c-8b1e-878bc9ebc6e8/AppIcon-0-0-1x_U007emarketing-0-8-0-85-220.png/1024x1024bb.png
banks/indo/bank-papua,downloaded,"brand-site | wordmark | 5.54:1 (horizontal, 875x158) | transparent",https://www.bankpapua.co.id/asset/images/6e4fe9e6704a107c8730e829aa5732d3.png
ewallets/indo/gopay,downloaded,"brand-site | app-icon | 1.00:1 (square, 180x180) | transparent",https://gopay-website.al-gp-id-p.cdn.gtflabs.io/assets/img/homepage/apple-touch-icon.png
ewallets/indo/ovo,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/83/d6/2e/83d62e61-b4d9-e268-8648-5541e0f9c487/AppIcon-0-0-1x_U007emarketing-0-8-0-sRGB-85-220.png/1024x1024bb.png
ewallets/indo/dana,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple211/v4/98/77/e5/9877e539-8667-f74e-794e-275559d6bb4c/AppIcon-0-0-1x_U007ephone-0-1-0-0-85-220.png/1024x1024bb.png
ewallets/indo/shopeepay,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/0b/c4/2f/0bc42f58-a172-dc71-1133-50f43319be42/AppIcon-1x_U007ephone-0-1-0-0-85-220-0.png/1024x1024bb.png
ewallets/indo/linkaja,downloaded,"app-store | app-icon | 1.00:1 (square, 1024x1024) | has own baked-in background",https://is1-ssl.mzstatic.com/image/thumb/Purple221/v4/17/02/54/17025479-db8a-d0c8-b038-72b4906a8583/AppIconRamadhan-1x_U007emarketing-0-11-0-85-220-0.png/1024x1024bb.png
